,Customer_Group,Sales_Org,Distribution_Channel,Aggregate_Planning_Group,Scenario,Number_of_Observations,Training_Rsq,Shapiro_pvalue,Intercept,Base_Price_norm,seasonality,TPCW,trend_input,PROMO_SPEND_TOTAL,Outlier,price_offset
58,DeCA Total-RMA - Military,US43,Retail,OZARKA CP,Base,149,0.66926151,0.923075301,549.0848908,-546.1977766,1417.565615,0.351114195,5.622926295,0.003281586,58.27805111,-2168.739747
59,Total US - Club,US43,Retail,STG STILL GLS,MIXED RESTRICTED,0,0,0,-126528638.3,-6980013.487,0,2905.674039,0,1.389545745,0,-127837619
60,Total US - Club,US43,Retail,POLAND SPRING MSV,Base,103,0.903890797,0.180414837,27877.311,-25346.86856,59016.79345,918.1090659,-171.9777762,0.081299275,71997.14671,-479279.0775
61,Total US - Food,US43,Retail,DEER PARK OP xAl Btl,MIXED,0,0,0,-13292.33684,-20696.42889,46994.3932,212.4257958,9.07370282,0.023259037,0,-66987.8399
62,Walmart Corp-RMA - Walmart,US43,Retail,PURE LIFE CP,MIXED,0,0,0,236774.8935,-46626.03945,325011.7818,1123.756384,-307.6350297,0.383685197,0,-400409.9746
63,Walmart Corp-RMA - Walmart,US43,Retail,DEER PARK MSV,MIXED,0,0,0,-1534.318615,-53.63517419,310.6982098,54.08913132,0.078128316,0.049370674,0,-187.9547989
64,Total US - Club,US43,Retail,DEER PARK CP,MIXED,0,0,0,-47962.70685,-19074.99398,85121.58356,1601.583536,-36.71224197,0.305425493,0,-206973.0389
65,Walmart Corp-RMA - Walmart,US43,Retail,DEER PARK OP xAl Btl,Base,103,0.889439622,0.250877767,-6417.641882,-380.854028,4721.736776,88.2002069,35.31780141,0.0202418,5183.956082,-1229.344764
66,Total US - Drug,US43,Retail,ZEPHYRHILLS CP,Base,103,0.362832353,4.30E-19,2895.927621,-3048.469503,-2258.543861,582.6204483,-46.99926985,0.018298019,0,-22964.65212
67,Total US - Food,US43,Retail,DEER PARK MSV,Base,103,0.48687399,9.56E-11,-8437.968247,-4123.232553,9675.561254,202.8075022,2.369807648,0.047831724,1868.569127,-17416.89322
68,Total US - Club,US43,Retail,OZARKA MSV,MIXED,0,0,0,1031.34722,-55.72399072,1969.833241,64.96381391,-0.942336734,0.066928184,0,-963.0628144
69,Total US - Food,US43,Retail,PURE LIFE CP,MIXED,0,0,0,236694.2772,-46626.03945,508935.0056,1123.756384,-94.92593617,0.383685197,0,-290739.7569
